probability,angleinvcdf
0.006000600060006001,0.023341524033728824
0.006100610061006101,0.023535866051315576
0.006200620062006201,0.023728632447845028
0.0063006300630063005,0.02391986141365353
0.006400640064006401,0.02410958961396392
0.006500650065006501,0.024297852272669986
0.006600660066006601,0.024484683249687746
0.006700670067006701,0.024670115113313452
0.006800680068006801,0.024854179217114598
0.006900690069006901,0.025036905750104577
0.0070007000700070005,0.02521832379388616
0.007100710071007101,0.025398461391799822
0.007200720072007201,0.02557734559686752
0.007300730073007301,0.025755002501300785
0.007400740074007401,0.02593145731614145
0.007500750075007501,0.02610673437932971
0.007600760076007601,0.02628085721959098
0.0077007700770077014,0.02645384858429593
0.007800780078007801,0.026625730474869942
0.0079007900790079,0.026796524183711826
0.008000800080008,0.026966250321522955
0.008100810081008101,0.027134928801503727
0.008200820082008202,0.027302578911997052
0.0083008300830083,0.02746921933325829
0.0084008400840084,0.02763486819408386
0.008500850085008501,0.027799543077202463
0.008600860086008601,0.027963261037453023
0.008700870087008702,0.028126038641721154
0.0088008800880088,0.028287891976175095
0.0089008900890089,0.028448836659750374
0.009000900090009001,0.028608887876424863
0.009100910091009102,0.028768060386686462
0.009200920092009202,0.028926368543919508
0.0093009300930093,0.02908382636540739
0.009400940094009401,0.029240447561925016
0.009500950095009501,0.029396245485753227
0.009600960096009602,0.029551233138302765
0.009700970097009702,0.029705423182972715
0.0098009800980098,0.02985882795739955
0.009900990099009901,0.030011459485132005
0.010001000100010001,0.030163329486624375
0.010101010101010102,0.030314449389851842
0.0102010201020102,0.030464830341193603
0.010301030103010301,0.030614483214462217
0.010401040104010401,0.030763418620116896
0.010501050105010502,0.0309116469141194
0.010601060106010602,0.031059178206404067
0.0107010701070107,0.031206022368983632
0.010801080108010801,0.031352189043709955
0.010901090109010901,0.031497687649706535
0.011001100110011002,0.031642527390587545
0.011101110111011102,0.03178671726175353
0.0112011201120112,0.03193026605616739
0.011301130113011301,0.03207318237082288
0.011401140114011402,0.03221547461283656
0.011501150115011502,0.03235715100523663
0.011601160116011602,0.03249821959252377
0.011701170117011701,0.03263868824601571
0.011801180118011801,0.032778564669220675
0.011901190119011902,0.03291785640515795
0.012001200120012002,0.03305657083699019
0.0121012101210121,0.033194715193413805
0.012201220122012201,0.03333229655376862
0.012301230123012302,0.03346932185277
0.012401240124012402,0.03360579788839818
0.012501250125012502,0.0337417313185329
0.012601260126012601,0.03387712866771025
0.012701270127012701,0.034011996353316185
0.012801280128012802,0.03414634069003559
0.012901290129012902,0.034280167860867884
0.013001300130013002,0.03441348392319669
0.013101310131013101,0.034546294818887276
0.013201320132013201,0.034678606372825584
0.013301330133013302,0.03481042429014199
0.013401340134013402,0.03494175416979377
0.013501350135013503,0.035072601504751534
0.013601360136013601,0.035202971675310446
0.013701370137013702,0.03533286996702449
0.013801380138013802,0.03546230156337509
0.013901390139013902,0.03559127154586862
0.014001400140014001,0.035719784911168444
0.014101410141014101,0.03584784655404607
0.014201420142014202,0.035975461278973726
0.014301430143014302,0.03610263379168711
0.014401440144014403,0.036229368708318214
0.014501450145014501,0.0363556705746175
0.014601460146014602,0.036481543847307146
0.014701470147014702,0.03660699291818134
0.014801480148014802,0.03673202209437566
0.014901490149014903,0.036856635619641205
0.015001500150015001,0.03698083765905518
0.015101510151015102,0.037104632315245564
0.015201520152015202,0.03722802361726233
0.015301530153015303,0.0373510155338492
0.015401540154015403,0.03747361196327234
0.015501550155015502,0.03759581674734104
0.015601560156015602,0.03771763365862027
0.0157015701570157,0.037839066418112695
0.0158015801580158,0.03796011867815315
0.0159015901590159,0.03808079404378056
0.016001600160016,0.03820109605343676
0.016101610161016102,0.038321028199356864
0.016201620162016202,0.03844059391370403
0.016301630163016303,0.03855979657785941
0.016401640164016403,0.03867863952451674
0.016501650165016504,0.038797126028607395
0.0166016601660166,0.038915259324297714
0.0167016701670167,0.0390330425902234
0.0168016801680168,0.03915047896038862
0.0169016901690169,0.03926757152530675
0.017001700170017002,0.039384323322803706
0.017101710171017102,0.0395007373527572
0.017201720172017203,0.03961681657015873
0.017301730173017303,0.039732563882510785
0.017401740174017404,0.03984798216170924
0.017501750175017504,0.03996307423636472
0.0176017601760176,0.040077842891238766
0.0177017701770177,0.040192290877095825
0.0178017801780178,0.040306420904649316
0.017901790179017902,0.04042023564255751
0.018001800180018002,0.04053373772709761
0.018101810181018103,0.04064692975818885
0.018201820182018203,0.04075981429570979
0.018301830183018303,0.040872393869943874
0.018401840184018404,0.04098467099590528
0.0185018501850185,0.04109664816071036
